gameID,Reg,Role,earnings,gold,silver,bronze,s-tier
Zoom,China,Top,188058.0,2,3,4,1
Jisu,Korea,Top,19634.0,3,3,1,0
Lwx,China,ADC,354755.0,2,4,2,2
Leo,Korea,ADC,6713.0,0,1,0,0
Once,Japan,Jungle,4329.0,1,0,2,0
Santorin,North America,Jungle,147825.0,6,5,0,1
Kuzan,Korea,Mid,25732.0,1,1,0,0
M1kuya,China,Top,15136.0,0,1,0,0
Xiaopeng,China,Jungle,17566.0,4,0,0,0
Jockster,Brazil,Support,32371.0,4,3,0,1
LoveLing,China,Jungle,93900.0,1,3,1,1
Pilot,Korea,ADC,24274.0,1,1,1,0
Absolut,Brazil,ADC,16376.0,3,3,0,0
SoaR,Korea,Top,11312.0,0,3,2,0
DnDn,Korea,Top,2343.0,0,1,2,0
Blessing,Korea,Support,71.0,0,0,1,0
Tempt,Korea,Mid,17288.0,1,0,0,0
ToongE,Korea,ADC,1117.0,1,2,0,0
Dioud,Europe,Support,26588.0,3,1,3,0
Ophelia,Korea,Mid,8702.0,1,1,1,0
Baut,Korea,Support,3568.0,0,1,0,0
Envyy,Korea,ADC,10642.0,2,0,1,0
Ale,China,Top,19859.0,0,1,0,0
Duclou,Brazil,Top,2045.0,0,0,0,0
Lindarang,Korea,Top,16305.0,0,0,0,0
Big,North America,Support,14000.0,4,0,0,0
Diamond,North America,Support,12000.0,2,1,1,0
Zero,China,Support,218370.0,2,2,1,2
Magic,China,Jungle,17160.0,1,0,1,0
ZaZee,Europe,Mid,30461.0,5,2,0,0
Lospa,Korea,Support,913.0,2,0,0,0
Hoon,Turkey,Top,12076.0,1,0,0,0
xiye,China,Mid,216064.0,5,3,1,2
Noah,Korea,ADC,2201.0,1,0,0,0
Cuzz,Korea,Jungle,210305.0,4,5,1,4
Pooh,Russia,ADC,9667.0,0,1,0,0
Pooh,Japan,Support,9667.0,0,1,0,0
Burry,Korea,Jungle,264.0,0,1,0,0
Jelly,Latin America,Support,11894.0,1,0,0,0
Zzanggu,Korea,Mid,251.0,0,1,0,0
HongA,Korea,ADC,71.0,0,0,1,0
CoreJJ,North America,Support,716738.0,8,7,2,3
Niles,North America,Top,6180.0,1,1,4,0
Hanabi,PCS,Top,147548.0,7,1,2,3
Sword,Korea,Top,77590.0,3,3,1,1
Rascal,Korea,Top,197956.0,3,5,3,2
Violet,Oceania,ADC,12893.0,0,0,1,0
Violet,Oceania,ADC,12788.0,1,1,0,0
View,China,Jungle,1465.0,0,0,1,0
Mystiques,North America,Support,17852.0,5,7,1,0
Yoshino,Vietnam,Top,12057.0,3,0,0,0
Flawless,Korea,Jungle,93606.0,2,4,1,1
Beyond,Korea,Jungle,19352.0,0,2,0,0
Beyond,Vietnam,Mid,19352.0,0,2,0,0
Kazu,Japan,Support,21989.0,3,1,0,0
Wiz,Brazil,Jungle,3254.0,1,0,0,0
Gaeng,Japan,Support,110531.0,6,1,2,0
Scout,China,Mid,476082.0,9,2,3,7
Agresivoo,Europe,Top,35964.0,5,4,4,0
Abbedagge,North America,Mid,54671.0,3,2,2,2
Pyrka,Europe,Support,8694.0,2,0,4,0
Kynetic,Europe,ADC,4206.0,0,2,2,0
Rahel,Korea,ADC,34515.0,1,0,0,1
Mytant,Russia,ADC,661.0,0,1,0,0
Sacre,Europe,Top,18566.0,5,4,1,0
Djoko,Europe,Jungle,30280.0,9,4,0,0
Caps,Europe,Mid,562862.0,11,3,4,9
Bravado,Europe,Support,9750.0,4,1,2,0
PowerOfEvil,North America,Mid,121830.0,1,7,5,0
Elyoya,Europe,Jungle,66955.0,3,1,0,2
Grevthar,Brazil,Mid,8726.0,1,0,0,0
Diamondprox,Brazil,Jungle,144378.0,9,6,1,1
Wos,Brazil,Support,12471.0,4,4,0,0
Kackos,Europe,Top,4062.0,0,2,1,0
Meleks,Russia,Support,1128.0,0,0,1,0
Chres,Europe,Mid,41412.0,5,2,2,0
YellOwStaR,Europe,Support,181049.0,7,8,2,5
Don Arts,Europe,Jungle,28990.0,4,2,1,0
Lamabear,Europe,Jungle,3362.0,1,0,0,0
Robo,Brazil,Top,30232.0,6,3,1,1
Wizer,Brazil,Top,3928.0,0,0,1,0
kRYST4L,China,ADC,37369.0,0,1,1,0
Tomio,North America,Jungle,3220.0,1,2,1,0
zs,China,Top,14615.0,1,0,0,0
KaKAO,Korea,Jungle,82348.0,3,2,5,1
Cabochard,Europe,Top,60150.0,2,4,1,0
Kanavi,China,Jungle,131823.0,1,2,2,1
GuGer,Korea,Support,36071.0,2,6,0,0
Sinmivak,Europe,Top,10152.0,3,0,3,0
Nasser,Europe,Jungle,422.0,0,1,1,0
Nuclear,Korea,No_Fixed,62417.0,3,1,1,1
Kreox,Russia,Jungle,28670.0,1,3,1,0
Wings,China,ADC,5862.0,0,1,0,0
Keshi,Korea,Support,4994.0,0,1,0,0
Miracle,Russia,Support,1336.0,0,0,0,0
Alu,China,Support,16204.0,2,0,0,0
Peach,Korea,Jungle,1246.0,2,0,0,0
Lourlo,North America,Top,9100.0,1,0,0,0
Unified,PCS,ADC,61368.0,6,1,1,0
CuVee,Korea,No_Fixed,562064.0,5,3,1,1
Canna,Korea,Top,83494.0,2,2,0,1
Oner,Korea,Jungle,58173.0,3,3,0,0
MnM,PCS,ADC,10140.0,0,0,0,0
Bvoy,Latin America,ADC,34915.0,0,4,0,0
Ggoong,Korea,Coach,44527.0,0,3,0,0
Riss,Korea,Top,3568.0,0,1,0,0
Eden Fox,Turkey,Mid,1104.0,0,2,1,0
Key,Korea,No_Fixed,30095.0,2,0,0,0
Minit,Korea,Support,10414.0,0,3,0,0
Value,North America,ADC,12180.0,5,0,3,0
Chovy,Korea,Mid,159439.0,3,5,3,1
Jjun,Korea,Jungle,14925.0,3,1,1,0
yuyanjia,China,Support,174422.0,3,1,1,2
Qingtian,China,Top,15489.0,1,0,0,0
Bruce,PCS,ADC,16771.0,1,2,1,0
xTyLk,Russia,Mid,5227.0,1,3,0,0
Ventair,Europe,Top,18242.0,5,1,3,0
Enso,PCS,Jungle,6218.0,0,0,1,0
Only35,Turkey,Support,3470.0,2,1,0,0
kaSing,Europe,Support,40147.0,6,7,6,1
PraY,Korea,ADC,394085.0,5,8,1,4
Svenskeren,North America,Jungle,280214.0,5,6,2,4
Fudge,North America,Mid,55750.0,4,2,1,1
Faker,Korea,Mid,1498711.0,18,9,3,16
Jaeger,Europe,Top,15560.0,2,1,4,0
TeamLuke,North America,ADC,400.0,0,0,0,0
Bjergsen,North America,No_Fixed,246259.0,9,9,1,7
Kiaya,Vietnam,Mid,27883.0,2,2,1,0
Rylle,Europe,Mid,383.0,0,0,1,0
Naru,Turkey,Mid,20993.0,4,1,1,1
Frozen,Korea,No_Fixed,32881.0,2,2,0,1
Frozen,Korea,No_Fixed,6210.0,6,1,0,0
Bugi,Latin America,Jungle,46246.0,2,1,3,1
Lilipp,Europe,Support,3173.0,0,0,1,0
takeshi,Brazil,Mid,17004.0,1,6,2,1
Manaty,Europe,Jungle,1613.0,1,0,0,0
Crownshot,Europe,ADC,32311.0,8,6,1,0
Road,Korea,Support,60131.0,1,2,2,0
V1per,North America,Top,28600.0,4,1,0,0
xiaolaohu,China,Top,37164.0,0,2,0,0
Dasher,Japan,Top,533.0,0,1,0,0
Ben4,China,Jungle,14631.0,0,1,0,0
Smoothie,North America,Support,121333.0,4,6,1,1
Doxy,Russia,Top,36366.0,4,6,1,0
Roach,Korea,Top,43359.0,2,4,0,1
Carlsen,Europe,Top,383.0,0,0,1,0
Argonavt,Russia,ADC,5786.0,1,0,0,0
Move,Turkey,Jungle,24700.0,3,1,0,1
Halo,Oceania,Mid,5000.0,2,2,0,0
Koala,PCS,Support,61295.0,2,2,3,1
Tom,Korea,Jungle,37359.0,2,0,0,2
Four,Europe,Jungle,11031.0,2,4,1,0
Cinkrof,Europe,Jungle,33561.0,5,5,2,0
Doggo,PCS,ADC,18388.0,0,2,0,0
Ambition,Korea,Jungle,596773.0,8,6,3,2
Khomzar,Russia,Top,776.0,0,0,0,0
Teddy,Korea,ADC,162007.0,4,1,0,4
Vetheo,Europe,Mid,22174.0,2,2,1,0
Smurf,Russia,Top,69882.0,2,5,2,0
MaHa,Korea,No_Fixed,14519.0,0,1,0,0
Ning,China,Jungle,696766.0,5,3,4,3
Smlz,China,ADC,54429.0,2,1,4,2
Untara,Korea,Top,22284.0,0,1,0,0
BroCColi,Turkey,Jungle,2700.0,0,0,1,0
Light,China,ADC,19859.0,0,1,0,0
Knighter,Europe,Mid,1303.0,1,1,0,0
Zenit,Japan,ADC,2657.0,0,0,0,0
Akabane,Europe,Jungle,9076.0,1,0,1,0
Ghost,Korea,ADC,307025.0,5,2,1,4
Shanks,China,Mid,29636.0,1,2,2,0
Amazing,Europe,No_Fixed,93969.0,4,4,1,1
inSec,Korea,Jungle,145833.0,4,2,2,2
Aria,Japan,Mid,48138.0,2,0,1,0
Xiaobai,China,Top,21200.0,1,1,0,1
Maestro,China,Support,5604.0,0,0,0,0
