number,name,earnings,gold,silver,bronze,s-tier
638,Jestkui Max,18751.00,0,4,0,0
639,Pride,18708.00,4,3,0,0
640,Shadow,18695.00,1,3,1,0
641,Lekcycc,18690.00,0,4,2,0
642,Phaxi,18605.00,4,5,2,0
643,FZZF,18600.00,1,0,0,0
644,Sacre,18566.00,5,4,1,0
645,TrAce,18462.00,0,1,0,0
646,ikssu,18457.00,0,0,2,0
647,Doggo,18388.00,0,2,0,0
648,Hang,18383.00,1,0,0,0
649,Cube,18383.00,1,1,0,0
650,Mickey,18343.00,1,0,2,0
651,Southwind,18301.00,0,0,0,0
652,Puff,18301.00,0,0,1,0
653,cody,18287.00,3,0,1,0
654,LaMiaZeaLoT,18250.00,3,0,1,1
655,Ventair,18242.00,5,1,3,0
656,Winter,18142.00,5,4,4,0
657,Envy,18131.00,4,1,0,0
658,Apex,18114.00,1,2,2,0
659,Freeze,18086.00,4,6,1,1
660,Falco,18065.00,4,1,0,0
661,Dan,18009.00,8,2,2,0
662,Klaj,18005.00,0,4,4,0
663,Zorozero,18000.00,1,3,0,0
664,LEP,17968.00,2,1,4,0
665,Ackerman,17940.00,4,0,0,0
666,World6,17923.00,0,0,0,0
667,Mystiques,17852.00,5,7,1,0
668,Kumo,17800.00,1,2,1,0
669,QaspieL,17762.00,3,4,1,0
670,Patrik,17711.00,2,1,0,1
671,Pandar,17635.00,5,1,1,0
672,Labrov,17603.00,3,0,2,0
673,Genthix,17582.00,3,0,2,0
674,Changhong,17566.00,4,0,0,0
675,Twila,17566.00,4,0,0,0
676,Xiaopeng,17566.00,4,0,0,0
677,Hooks,17520.00,4,3,1,0
678,Joey,17305.00,1,0,0,0
679,Tempt,17288.00,1,0,0,0
680,Husha,17275.00,0,3,0,0
681,Hoit,17254.00,2,0,1,0
682,3z,17247.00,1,1,3,0
683,Kino,17204.00,0,2,1,0
684,Magic,17160.00,1,0,1,0
685,zig,17100.00,1,0,2,1
686,Broeki,17045.00,5,1,1,0
687,takeshi,17004.00,1,6,2,1
687,dexter,17000.00,0,1,1,0
687,Phlaty,16805.00,0,4,1,0
690,Th3Antonio,16804.00,6,3,0,0
691,Jenkins,16800.00,3,2,0,0
